ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
2.91,6.17,3.59,-1.67,-0.46,0.92,5.53,8,-1.73,0.31,0.16,-0.41,-0.22,9.47,-2.62,-0.06,0.02,0.01
2.58,8.36,2.91,0.18,0.07,-0.21,5.77,7.74,-1.23,-0.14,-0.04,-0.07,-0.28,9.57,-2.27,0,0.12,0.03
4.09,6.41,4.38,-1.3,-0.25,0.87,5.13,8.39,-1.98,0.41,0.09,-0.29,-0.09,9.46,-2.35,-0.03,0.03,0.02
3.58,7.54,3.47,0.51,0.13,-0.46,5.27,8.04,-1.34,-0.23,-0.09,0,-0.18,9.62,-1.83,0.04,0.12,-0.02
4.02,6.64,4.09,-1.16,-0.05,0.92,5.04,8.26,-1.68,0.27,0.12,-0.38,0.18,9.5,-1.97,-0.02,-0.06,0.03
2.11,8.54,3.19,0.13,-0.29,-0.18,5.52,7.99,-1.35,-0.16,-0.16,-0.11,-0.15,9.68,-1.96,0.02,0.05,0.07
2.81,7.93,3.13,-0.83,-0.24,0.55,5.36,8.22,-1.54,0.04,0.18,-0.28,0.34,9.43,-2,0.02,0.02,0.05
2.5,8.17,2.26,0.06,-0.24,-0.14,5.96,8.16,-1.45,0,-0.11,-0.14,-0.57,9.54,-1.66,-0.05,-0.02,0.09
3.99,6.52,3.63,-1.42,-0.16,1.06,5.48,8.18,-1.67,0.18,0.08,-0.53,-0.28,9.41,-1.38,-0.07,-0.11,0.14
3.16,7.58,3.23,-0.87,-0.19,0.62,5.28,7.96,-1.62,0.11,0.01,-0.31,0,9.45,-1.77,-0.08,-0.08,0.11
2.78,8.11,2.95,0.09,-0.17,-0.09,5.51,8.12,-1.41,-0.07,-0.12,-0.09,-0.21,9.82,-1.86,0.03,0.01,0
3.4,6.19,3.36,1.07,0.3,-0.79,5.39,7.91,-1.38,-0.45,-0.24,0.14,-0.02,9.47,-2.13,0.02,0.23,-0.09
4.09,6.34,4.09,-1.46,-0.09,0.94,5.78,7.98,-1.94,0.24,0.15,-0.52,0.61,23.4,8.27,-0.26,-0.82,0
3.74,6.56,3.1,-1.25,-0.2,0.88,5.21,8.07,-1.65,0.11,0.03,-0.5,-0.1,9.39,-1.96,-0.01,-0.11,0.09
3.6,7.48,3.6,-0.52,-0.13,0.31,4.94,8.41,-1.1,0.05,-0.07,-0.27,0.27,9.38,-2.6,0.03,0.09,0.02
4.53,5.64,3.54,1.26,0.27,-0.84,5.17,8.32,-1.19,-0.27,-0.07,0.34,0.48,9.34,-2.71,0.06,0.14,-0.09
5.52,6.94,3.53,-0.87,0.11,0.71,5.29,9.17,-0.71,0.68,0.09,-0.39,-1.56,8.86,-2.66,-0.39,0.16,0.23
5.02,5.29,6.16,-1.15,-0.37,-0.08,1.98,9.44,-2.28,-0.27,-0.74,-0.6,1.59,8.46,-4.05,0.18,-0.49,0.34
5.37,5.28,3.57,-1.28,-0.23,1.01,4.43,8.76,-1.87,0.17,0.17,-0.42,-0.27,9.5,-1.37,-0.03,-0.02,0.03
3.67,7.42,3.35,0.36,0.02,-0.31,4.91,8.3,-1.27,-0.19,-0.04,-0.01,-0.54,9.5,-1.93,0.05,0.08,-0.04
4.43,5.97,4.25,-1.12,-0.03,0.84,4.67,8.58,-1.67,0.25,0.08,-0.34,-0.29,9.46,-1.96,-0.03,0.03,0.02
3.68,7.44,3.25,-0.46,-0.23,0.29,5.08,8.27,-1.47,-0.03,0,-0.25,-0.54,9.52,-1.72,0.04,0.03,-0.01
4.66,5.76,3.98,1.01,0.02,-0.93,5.31,8.17,-1.66,-0.28,-0.13,0.25,-0.86,9.49,-0.86,0.02,0.1,-0.04
4.32,5.96,3.67,-1.28,-0.11,1.14,5.02,8.41,-1.8,0.28,0.02,-0.45,-0.63,9.59,-1.58,0.06,0.02,0.03
3.94,6.85,3.5,-1.02,0,0.74,5,8.56,-1.51,0.13,0.1,-0.32,-0.51,9.69,-1.52,-0.01,-0.07,0.08
3.39,7.34,2.81,-0.16,-0.14,0.03,5.41,8.17,-1.26,0.05,-0.18,-0.15,-0.96,9.54,-2.47,-0.04,0.05,0.02
3.08,6.69,2.83,0.77,0,-0.71,5.1,8.01,-1.56,-0.24,-0.09,0.1,-0.62,9.34,-2.05,0.04,0.27,-0.1
4.55,4.79,3.37,1.46,0.14,-1.42,4.96,8.37,-1.38,-0.31,-0.17,0.54,-0.17,9.64,-1.64,0.16,0.23,-0.07
4.3,7.48,3.54,-0.82,-0.15,0.63,5.6,7.91,-1.8,0.16,-0.02,-0.33,-0.65,9.43,-1.4,-0.05,-0.05,0.05
3,6.44,2.47,0.97,-0.14,-0.97,5.09,8.32,-1.73,-0.23,-0.13,0.28,-0.25,9.5,-1.78,0.09,0.43,-0.17
3.41,6.64,3.04,0.63,-0.05,-0.67,4.79,8.27,-1.49,-0.25,0.03,0.08,-0.47,9.53,-1.67,0.03,0.27,-0.09
3.99,5.46,3.21,1.04,-0.06,-1.11,4.94,8.28,-1.7,-0.34,-0.12,0.15,-0.4,9.54,-1.91,0.09,0.31,-0.1
3.89,5.89,3.22,1.16,0.13,-1.26,5.31,8.14,-1.66,-0.35,-0.27,0.31,-0.56,9.48,-1.92,0.05,0.33,-0.11
4.07,4.59,3.03,1.38,0.17,-1.41,5.04,8.28,-1.6,-0.38,-0.34,0.36,-0.57,9.36,-1.81,0.05,0.28,-0.11
3.47,6.81,2.55,0.74,0.09,-0.8,5.42,8.08,-1.56,-0.18,-0.16,0.18,-0.74,9.49,-1.65,0.08,0.26,-0.06
3.14,6.55,2.62,0.74,0.04,-0.77,5.42,8.09,-1.58,-0.25,-0.14,0.15,-0.65,9.13,-1.75,-0.04,0.26,-0.14
3.64,6.01,2.85,1.06,0.05,-0.97,5.47,7.93,-1.59,-0.36,-0.3,0.23,-0.36,9.17,-2.05,-0.02,0.23,-0.12
2.37,7.86,2.08,-0.67,-0.27,0.47,5.71,8.28,-1.44,0.06,-0.17,-0.26,-0.51,9.5,-2.5,0.02,0.08,-0.01
3.21,7,0,-1.15,-0.28,0.62,6.64,7.02,0.61,-0.05,-0.19,-0.36,0.69,9.25,-0.35,0.16,-0.09,-0.06
4.4,6.6,-0.18,1.3,0.22,-0.9,6.65,7.04,0.7,-0.09,0.34,0.37,0.32,9.51,-0.37,0.01,0.13,-0.04
2.92,8.37,-1.89,-0.92,-0.08,0.43,7.13,6.55,0.78,0.01,-0.3,-0.35,0.05,9.57,-0.6,0,0.06,-0.02
4.52,5.53,-0.12,-1.63,-0.11,1.16,7.07,6.74,0.95,-0.02,-0.35,-0.46,0,9.58,-0.74,0.02,0.05,0.01
4.66,5.33,0.41,-1.77,-0.24,1.17,6.44,7.07,0.34,0.06,-0.16,-0.59,0.03,9.56,-0.58,-0.01,0.05,0.01
5.07,5.39,-0.78,-1.69,-0.11,1.19,6.91,7.08,0.69,0.02,-0.27,-0.5,0.11,9.58,-0.71,-0.03,0.06,0.01
4.84,5.38,-0.59,-1.62,0.01,1.25,6.65,7.24,0.61,0.02,-0.25,-0.48,0.25,9.53,-0.57,0.01,0.06,0.02
3.72,7.84,-0.46,0.64,-0.01,-0.51,6.79,6.91,0.39,-0.13,0.15,0.2,0.16,9.65,-0.55,0.06,0.12,-0.06
4.62,5.4,0.11,-1.58,-0.36,1.1,6.98,7.1,0.23,0.03,-0.28,-0.4,-0.36,9.45,-1.09,-0.09,0.01,-0.02
3.79,5.99,1.32,1.78,-0.34,-1.03,7.56,6.63,0,-0.54,0.18,0.33,0.35,9.6,0.08,0.07,0.21,-0.05
4.75,4.72,2.31,2.07,-0.41,-1.22,6.98,6.87,-0.28,-0.63,0.24,0.17,0.77,9.52,-0.26,0.05,0.18,0.01
5.07,5.47,3.52,-2.11,-0.04,1.01,7.48,6.51,1.17,0.51,-0.19,-0.21,0.33,9.62,-0.13,-0.03,0.03,0.06
